fid,title,description,category,price,length,rating,actors
1,Academy Dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,Documentary,0.99,86,PG,"PenelopeGuiness, MaryKeitel, MenaTemple, RockDukakis, WarrenNolte, OprahKilmer, ChristianGable, SandraPeck, LucilleTracy, JohnnyCage"
2,Ace Goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,Horror,4.99,48,G,"ChrisDepp, MinnieZellweger, SeanGuiness, BobFawcett"
3,Adaptation Holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,Documentary,2.99,50,NC-17,"CameronStreep, NickWahlberg, RayJohansson, JulianneDench, BobFawcett"
4,Affair Prejudice,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,Horror,2.99,117,G,"OprahKilmer, ScarlettDamon, FayWinslet, JodieDegeneres, KennethPesci"
5,African Egg,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,Family,2.99,130,G,"ThoraTemple, GaryPhoenix, MatthewCarrey, MatthewLeigh, DustinTautou"
6,Agent Truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,Foreign,2.99,169,PG,"MorganWilliams, SandraKilmer, KennethHoffman, KirstenPaltrow, ReeseWest, WarrenNolte, JayneNeeson"
7,Airplane Sierra,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,Comedy,4.99,62,PG-13,"OprahKilmer, JimMostel, MichaelBolger, MenaHopper, RichardPenn"
8,Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,Horror,4.99,54,R,"GeneWillis, LucilleDee, FayKilmer, SusanDavis"
9,Alabama Devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,Horror,2.99,114,PG-13,"GretaKeitel, ElvisMarx, MerylAllen, RipCrawford, WilliamHackman, MenaTemple, WarrenNolte, ChristianGable, RipWinslet"
10,Aladdin Calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,Sports,4.99,63,NC-17,"JadaRyder, AlecWayne, RockDukakis, ReneeTracy, GretaMalden, JudyDean, RayJohansson, ValBolger"
11,Alamo Videotape,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,Foreign,0.99,126,G,"MichaelBening, ScarlettDamon, SeanGuiness, JohnnyCage"
12,Alaska Phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,Music,0.99,136,PG,"JeffSilverstone, SidneyCrowe, AlbertJohansson, SylvesterDern, GeneMckellen, ValBolger, BurtPosey"
13,Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,Horror,4.99,150,PG,"JonChase, ChristopherBerry, KennethTorn, MorganMcdormand, CaryMcconaughey"
14,Alice Fantasia,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,Classics,0.99,94,NC-17,"RockDukakis, MinnieZellweger, MorganWilliams, WoodyHoffman"
15,Alien Center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,Foreign,2.99,46,NC-17,"HumphreyWillis, SidneyCrowe, MenaHopper, ReneeTracy, BurtDukakis, KennethPaltrow"
16,Alley Evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,Foreign,2.99,180,NC-17,"AlbertJohansson, KarlBerry, JohnSuvari, JudeCruise, GregoryGooding"
17,Alone Trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,Music,0.99,82,R,"KarlBerry, ChrisDepp, WoodyJolie, ReneeBall, UmaWood, LaurenceBullock, EdChase, SpencerDepp"
18,Alter Victory,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,Animation,0.99,57,PG-13,"AngelaWitherspoon, ReeseKilmer, OprahKilmer, JadaRyder"
